cluster,region,district,distype,subdist,ea,locality,eacode,v9,dist_new,latitude,longitude
1005,9,1,1,0,6,1,901100006,Builsa,901,10.340257,-1.2443111
14,1,3,2,0,9,1,103200009,Nzema East,103,4.8673401,-2.2354701
444,4,10,1,0,5,1,410100005,Norh Dayi (Kpando),410,6.6311302,.312249
402,4,3,1,0,2,1,404100002,Ketu North,403,6.0663199,.89409202
7,1,1,1,0,207,1,101100207,Jomoro,101,5.1627598,-2.5353899
920,8,8,1,0,20,6,808100020,Nanumba North,808,8.6964998,-.13801999
943,8,11,3,2,15,1,811302015,Tamale Central,811,9.3972902,-.85175598
69,1,9,1,0,197,19,109100197,Prestea / Huni Valley,109,5.54492,-1.99352
87,1,12,1,0,108,17,112100108,Aowin Suaman,112,5.7726898,-2.7562599
878,7,20,1,0,158,18,720100158,Pru,720,8.2286196,-.64790201
157,2,5,1,0,171,26,205100171,Ajumanku / Enyan / Essiam,205,5.46175,-.97855002
915,8,6,1,0,159,21,806100159,Kpandai,806,8.4591503,-.022430999
1187,10,9,1,0,25,1,1009100025,Lawra,1009,10.5709,-2.8408899
1185,10,9,1,0,1,1,1009100001,Lawra,1009,10.4719,-2.85653
1191,10,9,1,0,73,1,1009100073,Lawra,1009,10.65,-2.8635399
247,3,1,2,0,388,16,301200388,Weija (Ga South),301,5.55617,-.29888999
209,2,12,1,0,194,18,212100194,Asikuma / Odoben  / Brakwa,212,5.7132802,-.98161697
795,7,4,2,0,159,26,704200159,Dormaa Municipal,704,7.2744098,-2.8734601
