eanum,reg_code,reg_name,ur,ez,locality_name,dist_name
391,6,Ashanti,2,2,BRIMBIRIMSO,Ejura Sekyidumasi
392,6,Ashanti,2,2,DROMANKUMA,Ejura Sekyidumasi
393,6,Ashanti,2,2,BOBRA,Offinso
394,6,Ashanti,2,2,OFFINSO-AJEMPRA,Offinso
395,6,Ashanti,1,2,ABOFOUR,Offinso
396,6,Ashanti,2,2,MANTUKWA,Offinso
397,6,Ashanti,2,2,ASUADEI,Ahafo Ano South
398,6,Ashanti,2,2,AHWEREWAM,Ahafo Ano South
399,6,Ashanti,2,2,POKUASE,Ahafo Ano South
400,6,Ashanti,2,2,MABANG,Ahafo Ano North
401,7,Brong Ahafo,1,2,MIM,Asunafo North
402,7,Brong Ahafo,2,2,SIISO,Asunafo North
403,7,Brong Ahafo,2,2,DOMEABRA (KWABENA KUMA),Asunafo North
404,7,Brong Ahafo,2,2,AMPENKRO,Asunafo North
405,7,Brong Ahafo,1,2,GOASO,Asunafo North
406,7,Brong Ahafo,2,2,NOBERKWA,Asunafo North
407,7,Brong Ahafo,2,2,AMANFROM,Asutifi
408,7,Brong Ahafo,1,2,HWIDIEM,Asutifi
409,7,Brong Ahafo,2,2,ACHERENSUA,Asutifi
410,7,Brong Ahafo,2,2,BOFOAKA,Tano South
411,7,Brong Ahafo,1,2,TECHIMANTIA,Tano South
412,7,Brong Ahafo,2,2,TANOSO,Tano South
413,7,Brong Ahafo,1,2,SUNYANI,Sunyani Municipal
414,7,Brong Ahafo,1,2,SUNYANI,Sunyani Municipal
415,7,Brong Ahafo,2,2,TANOM,Sunyani Municipal
416,7,Brong Ahafo,1,2,FIAPRE,Sunyani Municipal
417,7,Brong Ahafo,2,2,MMIRENGYAA,Dormaa
418,7,Brong Ahafo,2,2,ATESIKROM,Dormaa
419,7,Brong Ahafo,1,2,WAMFIE,Dormaa
420,7,Brong Ahafo,2,2,DIABAA,Dormaa
421,7,Brong Ahafo,2,2,MANTEWARE,Dormaa
422,7,Brong Ahafo,2,3,BAANO III.,Jaman South
423,7,Brong Ahafo,1,3,JAPEKROM,Jaman South
424,7,Brong Ahafo,1,3,DUADASO II,Jaman South
425,7,Brong Ahafo,2,3,GUNASUA,Jaman South
426,7,Brong Ahafo,2,3,ATUNA,Jaman South
427,7,Brong Ahafo,2,3,OLD DROBO,Jaman South
428,7,Brong Ahafo,1,2,BEREKUM,Berekum
429,7,Brong Ahafo,2,2,AYIMOM,Berekum
430,7,Brong Ahafo,1,3,WENCHI,Wench East
431,7,Brong Ahafo,2,3,DEGEDEGE,Wench East
432,7,Brong Ahafo,2,3,NCHIRAA,Wench East
433,7,Brong Ahafo,2,3,BANDA-DORBOR,Wench East
434,7,Brong Ahafo,1,2,TECHIMAN,Techiman Municipal
435,7,Brong Ahafo,1,2,TECHIMAN,Techiman Municipal
436,7,Brong Ahafo,2,2,DOMASE (AGYA YAW KROM),Techiman Municipal
437,7,Brong Ahafo,1,2,OFFUMAN,Techiman Municipal
438,7,Brong Ahafo,2,2,NEW TECHIMAN,Techiman Municipal
439,7,Brong Ahafo,1,3,NKORANZA,Nkoranza
440,7,Brong Ahafo,2,3,AKONKONTI,Nkoranza
441,7,Brong Ahafo,2,3,BONSU,Nkoranza
442,7,Brong Ahafo,1,3,DROMANKESE,Nkoranza
443,7,Brong Ahafo,2,3,JEMA NKWANTA,Kintampo South
444,7,Brong Ahafo,2,3,YABRASO,Kintampo South
445,7,Brong Ahafo,2,3,ASANTEKWA,Kintampo South
446,7,Brong Ahafo,1,3,ATEBUBU,Atebubu-Amantin
447,7,Brong Ahafo,2,3,MASANO PRUSO,Atebubu-Amantin
448,7,Brong Ahafo,2,3,CHOKOLOMBO BATTOR,Atebubu-Amantin
449,7,Brong Ahafo,1,3,YEJI,Atebubu-Amantin
450,7,Brong Ahafo,2,3,BUOM,Atebubu-Amantin
